CO,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
1,0,0,0,0,0,0,16,0,0,0
1,11,10,0,0,0,0,0,0,0,0
1,7,9,0,0,0,0,0,0,0,0
1,15,7,0,0,0,10,0,0,0,0
1,14,2,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,13,1,0,0,0,12,0,3,0,0
1,15,12,0,0,0,15,12,13,0,0
1,16,0,0,0,0,16,0,0,0,0
1,0,0,0,0,0,7,9,0,0,0
1,0,0,0,0,0,8,8,0,0,0
1,10,6,0,0,0,0,0,0,0,0
1,11,5,0,0,0,0,0,0,0,0
1,0,0,0,0,0,16,2,0,0,0
1,3,13,0,0,0,0,0,0,0,0
1,13,3,0,0,0,0,0,0,0,0
1,10,9,0,0,0,0,0,0,0,0
1,8,7,1,0,0,0,0,0,0,0
1,0,0,0,0,0,11,5,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,4,9,0,0,0,3,0,0,0,0
1,11,0,0,0,0,9,0,6,0,0
1,0,0,0,0,0,16,0,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,14,2,0,0,0,0,0,0,0,0
1,0,7,3,0,0,6,1,0,0,0
1,14,0,0,0,0,11,2,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,8,0,9,0,0,0,0,0,0,0
1,9,5,2,0,0,0,0,0,0,0
1,8,8,0,0,0,0,0,0,0,0
1,0,0,0,0,0,16,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4,12,0,0,0
1,2,15,0,0,0,0,0,0,0,0
1,11,10,9,0,0,8,11,2,0,0
1,12,6,2,0,0,10,0,0,0,0
1,9,7,0,0,0,0,0,0,0,0
1,3,5,3,0,0,5,3,1,0,0
1,16,0,0,0,0,16,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,14,2,3,0,0
1,14,7,0,0,0,9,0,0,0,0
1,1,9,0,0,0,6,2,0,0,0
1,0,0,0,0,0,16,0,0,0,0
1,5,0,0,0,0,16,16,0,0,0
1,13,14,0,0,0,13,0,14,0,0
1,1,0,0,0,0,8,7,0,0,0
1,2,0,0,0,0,2,14,0,0,0
1,8,11,0,0,0,7,0,0,0,0
1,2,10,0,0,0,3,2,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,4,11,0,0,0,1,0,0,0,0
1,12,0,0,0,0,4,0,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,0,0,0,0,0,15,1,0,0,0
1,0,0,0,0,0,1,13,2,0,0
1,16,0,0,0,0,0,0,0,0,0
1,3,5,4,0,0,5,1,2,0,0
1,12,6,0,0,0,5,6,2,0,0
1,10,7,0,0,0,0,0,0,0,0
1,2,7,6,0,0,3,5,3,0,0
1,3,5,0,0,0,5,4,0,0,0
1,5,7,4,0,0,5,7,4,0,0
1,0,0,0,0,0,10,6,0,0,0
1,5,4,0,0,0,4,3,0,0,0
1,1,0,0,0,0,14,2,0,0,0
1,16,5,7,0,0,16,0,0,0,0
1,7,9,0,0,0,7,4,0,0,0
1,0,0,0,0,0,7,9,0,0,0
1,3,5,4,0,0,5,4,0,0,0
1,10,3,3,0,0,10,3,3,0,0
1,0,0,0,0,0,13,8,0,0,0
1,15,0,0,0,0,12,0,0,0,0
1,7,10,0,0,0,0,0,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,10,0,7,0,0,8,3,0,0,0
1,6,8,0,0,0,8,0,9,0,0
1,16,0,0,0,0,16,0,0,0,0
1,0,0,0,0,0,10,6,4,0,0
1,16,16,0,0,0,16,16,0,0,0
1,7,8,5,0,0,0,0,0,0,0
1,0,0,0,0,0,6,13,0,0,0
1,12,3,1,0,0,12,3,1,0,0
1,0,0,0,0,0,16,3,1,0,0
1,9,14,10,0,0,8,6,0,0,0
1,16,0,1,0,0,16,1,0,0,0
1,0,12,4,0,0,0,0,0,0,0
1,1,1,9,0,0,7,5,3,0,0
1,11,5,0,0,0,0,0,0,0,0
1,0,0,0,0,0,16,16,0,0,0
1,1,0,0,0,0,15,1,0,0,0
1,5,0,0,0,0,11,0,0,0,0
1,6,6,4,0,0,0,0,0,0,0
1,12,0,0,0,0,15,1,0,0,0
1,0,0,0,0,0,9,0,7,0,0
1,6,12,0,0,0,0,0,0,0,0
1,11,5,0,0,0,0,0,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,7,0,0,0,0,11,10,0,0,0
1,0,0,0,0,0,14,11,11,0,0
1,2,8,0,0,0,5,0,1,0,0
1,15,0,0,0,0,8,4,3,0,0
1,0,0,0,0,0,16,0,0,0,0
1,9,7,0,0,0,0,0,0,0,0
1,6,3,3,0,0,3,0,1,0,0
1,16,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,16,0,0,0,0
1,0,0,0,0,0,16,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,9,0,7,0,0
1,3,6,7,0,0,0,0,0,0,0
1,9,12,0,0,0,11,0,10,0,0
1,0,0,0,0,0,9,0,12,0,0
1,8,4,5,0,0,6,4,6,0,0
1,5,7,8,0,0,5,7,5,0,0
1,0,0,0,0,0,15,2,0,0,0
1,15,0,0,0,0,11,0,0,0,0
1,2,0,0,0,0,1,11,9,0,0
1,6,0,0,0,0,13,7,0,0,0
1,15,15,0,0,0,13,16,14,0,0
1,16,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,11,5,0,0,0
1,9,3,5,0,0,0,0,0,0,0
1,11,4,1,0,0,0,0,0,0,0
1,1,0,8,0,0,4,0,3,0,0
1,0,0,0,0,0,15,2,0,0,0
1,7,9,0,0,0,16,0,0,0,0
1,0,0,0,0,0,11,8,0,0,0
1,13,4,0,0,0,14,4,0,0,0
1,0,0,0,0,0,16,0,0,0,0
1,7,0,7,0,0,9,9,0,0,0
1,5,5,7,0,0,5,4,4,0,0
1,0,0,0,0,0,13,0,3,0,0
1,1,10,0,0,0,5,0,0,0,0
1,13,0,4,0,0,13,7,0,0,0
1,7,0,9,0,0,0,0,0,0,0
1,11,0,0,0,0,16,0,0,0,0
1,11,0,0,0,0,13,13,0,0,0
1,16,8,6,0,0,16,11,7,0,0
1,0,0,0,0,0,15,15,0,0,0
1,2,6,10,0,0,4,3,0,0,0
1,7,0,0,0,0,9,0,0,0,0
1,11,0,0,0,0,15,0,0,0,0
1,1,4,4,0,0,3,3,1,0,0
1,16,12,0,0,0,13,0,0,0,0
1,0,0,0,0,0,3,7,6,0,0
1,0,0,0,0,0,11,0,5,0,0
1,9,0,0,0,0,14,8,0,0,0
1,0,16,0,0,0,0,0,0,0,0
1,14,3,3,0,0,11,4,0,0,0
1,8,13,0,0,0,7,0,0,0,0
1,0,0,0,0,0,13,4,0,0,0
1,14,2,0,0,0,0,0,0,0,0
1,3,10,0,0,0,3,0,2,0,0
1,12,0,4,0,0,0,0,0,0,0
1,5,8,0,0,0,8,0,4,0,0
1,9,0,0,0,0,16,0,16,0,0
1,1,15,0,0,0,0,0,0,0,0
1,7,0,0,0,0,14,2,0,0,0
1,0,0,0,0,0,2,7,9,0,0
1,0,0,0,0,0,9,7,0,0,0
1,16,16,0,0,0,14,0,0,0,0
1,7,9,0,0,0,0,0,0,0,0
1,7,9,0,0,0,0,0,0,0,0
1,0,0,0,0,0,8,8,0,0,0
1,0,0,0,0,0,0,16,0,0,0
1,0,16,0,0,0,0,0,0,0,0
1,3,4,6,0,0,5,2,0,0,0
1,0,0,0,0,0,8,7,5,0,0
1,0,0,0,0,0,10,7,0,0,0
1,16,16,16,0,0,16,16,16,0,0
1,16,0,0,0,0,16,0,0,0,0
1,0,0,0,0,0,3,13,0,0,0
1,0,0,0,0,0,10,7,0,0,0
1,9,7,0,0,0,0,0,0,0,0
1,6,11,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,15,0,0
1,14,8,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,15,0,0,0
1,2,0,0,0,0,14,2,0,0,0
1,13,0,0,0,0,13,3,0,0,0
1,11,5,1,0,0,9,5,0,0,0
1,6,10,0,0,0,7,0,0,0,0
1,6,7,0,0,0,3,0,0,0,0
1,15,0,0,0,0,15,9,8,0,0
1,13,1,0,0,0,15,1,0,0,0
1,11,8,0,0,0,0,0,0,0,0
1,10,0,9,0,0,0,0,0,0,0
1,10,12,8,0,0,6,0,0,0,0
1,13,3,0,0,0,0,0,0,0,0
1,10,0,5,0,0,10,0,0,0,0
1,0,0,0,0,0,6,0,10,0,0
1,7,0,0,0,0,7,11,0,0,0
1,0,0,0,0,0,6,11,0,0,0
1,0,0,0,0,0,10,6,0,0,0
1,15,7,5,0,0,12,6,0,0,0
1,0,0,0,0,0,8,8,0,0,0
1,5,11,6,0,0,7,6,1,0,0
1,3,8,3,0,0,6,0,2,0,0
1,0,0,0,0,0,9,1,7,0,0
1,11,6,0,0,0,0,0,0,0,0
1,8,0,0,0,0,15,1,0,0,0
1,10,0,0,0,0,8,6,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,11,5,0,0,0,0,0,0,0,0
1,0,0,0,0,0,13,2,1,0,0
1,8,9,0,0,0,0,0,0,0,0
1,12,3,1,0,0,0,0,0,0,0
1,0,0,0,0,0,12,4,0,0,0
1,12,1,3,0,0,12,1,3,0,0
1,8,0,0,0,0,3,5,0,0,0
1,7,13,0,0,0,7,13,7,0,0
1,0,0,0,0,0,14,3,0,0,0
1,16,0,0,0,0,15,0,0,0,0
1,0,0,0,0,0,12,0,6,0,0
1,0,0,0,0,0,10,9,0,0,0
1,0,0,0,0,0,10,6,0,0,0
1,0,0,0,0,0,8,8,0,0,0
1,16,16,16,0,0,16,16,16,0,0
1,10,10,0,0,0,0,0,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,16,0,0,0,0,16,16,0,0,0
1,10,0,7,0,0,0,0,0,0,0
1,0,0,0,0,0,10,13,0,0,0
1,15,14,15,0,0,15,15,15,0,0
1,14,0,3,0,0,13,0,0,0,0
1,0,0,0,0,0,4,8,4,0,0
1,5,6,0,0,0,3,2,0,0,0
1,0,0,0,0,0,9,7,0,0,0
1,5,9,2,0,0,0,0,0,0,0
1,0,0,0,0,0,2,14,0,0,0
1,6,12,0,0,0,0,0,0,0,0
1,4,9,6,0,0,0,0,0,0,0
1,14,6,0,0,0,11,1,0,0,0
1,15,0,1,0,0,0,0,0,0,0
1,15,1,0,0,0,15,1,2,0,0
1,5,7,4,0,0,0,0,0,0,0
1,5,5,3,0,0,4,2,4,0,0
1,0,0,0,0,0,11,0,7,0,0
1,0,2,0,0,0,12,3,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,8,6,5,0,0,0,0,0,0,0
1,16,0,0,0,0,15,0,0,0,0
1,4,0,6,0,0,6,0,0,0,0
1,0,0,0,0,0,9,7,0,0,0
1,7,6,0,0,0,7,0,9,0,0
1,3,9,0,0,0,2,0,8,0,0
1,0,0,0,0,0,11,5,0,0,0
1,15,0,0,0,0,14,0,0,0,0
1,16,0,12,0,0,16,12,0,0,0
1,5,2,7,0,0,5,7,5,0,0
1,13,4,0,0,0,12,4,0,0,0
1,0,0,0,0,0,12,7,0,0,0
1,1,0,0,0,0,9,8,0,0,0
1,0,0,0,0,0,5,0,11,0,0
1,0,0,0,0,0,12,9,0,0,0
1,8,13,0,0,0,0,0,0,0,0
1,12,5,0,0,0,9,4,0,0,0
1,11,1,4,0,0,0,0,0,0,0
1,15,0,0,0,0,14,2,1,0,0
1,9,0,0,0,0,9,0,0,0,0
1,0,10,0,0,0,0,0,7,0,0
1,0,0,0,0,0,16,6,0,0,0
1,5,0,0,0,0,3,11,0,0,0
1,11,4,0,0,0,6,0,0,0,0
1,0,0,0,0,0,16,0,0,0,0
1,0,0,0,0,0,4,0,12,0,0
1,8,8,0,0,0,0,0,0,0,0
1,16,16,16,0,0,16,16,16,0,0
1,10,0,0,0,0,12,13,0,0,0
1,0,0,0,0,0,0,16,0,0,0
1,0,0,0,0,0,10,0,6,0,0
1,8,0,0,0,0,8,8,4,0,0
1,9,0,9,0,0,0,0,0,0,0
1,0,0,0,0,0,16,0,0,0,0
1,0,0,0,0,0,10,0,6,0,0
1,0,0,0,0,0,11,0,5,0,0
1,0,0,0,0,0,16,1,0,0,0
1,5,5,0,0,0,5,0,1,0,0
1,0,0,0,0,0,13,1,3,0,0
1,9,7,0,0,0,0,0,0,0,0
1,0,0,0,0,0,8,0,10,0,0
1,0,0,0,0,0,9,0,7,0,0
1,8,6,4,0,0,0,0,0,0,0
1,15,0,0,0,0,13,1,0,0,0
1,13,0,2,0,0,15,4,0,0,0
1,10,0,7,0,0,0,0,0,0,0
1,5,0,0,0,0,11,11,10,0,0
1,7,0,0,0,0,6,5,6,0,0
1,15,0,1,0,0,15,0,1,0,0
1,11,3,3,0,0,0,0,0,0,0
1,3,9,5,0,0,0,0,0,0,0
1,0,0,0,0,0,0,16,0,0,0
1,11,5,0,0,0,0,0,0,0,0
1,16,16,16,0,0,16,16,15,0,0
1,3,10,5,0,0,11,8,0,0,0
1,7,8,8,0,0,0,0,0,0,0
1,5,1,3,0,0,4,3,1,0,0
1,6,5,5,0,0,0,0,0,0,0
1,9,12,7,0,0,8,0,6,0,0
1,0,0,0,0,0,16,0,1,0,0
1,16,16,16,0,0,0,0,0,0,0
1,9,7,0,0,0,0,0,0,0,0
1,0,0,6,0,0,8,0,2,0,0
1,12,0,7,0,0,0,0,0,0,0
1,4,10,3,0,0,0,0,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,2,9,5,0,0,2,7,6,0,0
1,16,0,0,0,0,16,0,0,0,0
1,3,8,5,0,0,0,0,0,0,0
1,0,0,0,0,0,11,0,14,0,0
1,4,4,7,0,0,4,3,0,0,0
1,5,0,0,0,0,3,10,0,0,0
1,9,4,4,0,0,8,4,0,0,0
1,8,6,0,0,0,2,0,0,0,0
1,16,0,0,0,0,16,0,0,0,0
1,10,11,7,0,0,3,0,0,0,0
1,8,0,0,0,0,13,4,0,0,0
1,0,0,0,0,0,7,5,4,0,0
1,12,2,3,0,0,0,0,0,0,0
1,1,1,13,0,0,1,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,11,0,12,0,0,0,0,0,0,0
1,12,8,3,0,0,10,0,0,0,0
1,0,0,0,0,0,16,5,0,0,0
1,5,5,9,0,0,9,3,4,0,0
1,0,0,0,0,0,9,0,7,0,0
1,16,0,0,0,0,16,0,0,0,0
1,6,8,5,0,0,7,4,0,0,0
1,8,0,9,0,0,0,0,0,0,0
1,10,0,11,0,0,13,8,11,0,0
1,16,0,0,0,0,16,0,0,0,0
1,10,6,0,0,0,10,6,0,0,0
1,1,5,0,0,0,4,9,5,0,0
1,0,0,0,0,0,8,8,1,0,0
1,15,2,2,0,0,15,1,2,0,0
1,6,0,0,0,0,10,5,3,0,0
1,0,0,0,0,0,6,8,2,0,0
1,15,1,0,0,0,15,1,8,0,0
1,15,1,0,0,0,15,0,1,0,0
1,4,5,0,0,0,8,0,0,0,0
1,0,0,0,0,0,10,8,0,0,0
1,7,9,0,0,0,0,0,0,0,0
1,13,9,0,0,0,8,8,0,0,0
1,15,8,7,0,0,0,0,0,0,0
1,2,0,0,0,0,2,0,14,0,0
1,0,0,0,0,0,4,0,13,0,0
1,7,1,4,0,0,4,3,0,0,0
1,12,0,0,0,0,10,0,0,0,0
1,9,8,0,0,0,0,0,0,0,0
1,12,8,12,0,0,10,10,11,0,0
1,7,8,0,0,0,1,0,0,0,0
1,5,11,9,0,0,0,0,0,0,0
1,0,0,0,0,0,9,0,9,0,0
1,9,0,0,0,0,11,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,10,10,9,0,0
1,0,0,0,0,0,8,5,3,0,0
1,2,12,2,0,0,0,0,0,0,0
1,0,0,0,0,0,12,6,0,0,0
1,4,16,0,0,0,0,0,0,0,0
1,16,0,0,0,0,7,0,0,0,0
1,16,16,16,0,0,16,16,16,0,0
1,1,10,0,0,0,6,0,0,0,0
1,5,0,0,0,0,11,0,5,0,0
1,15,4,0,0,0,0,0,0,0,0
1,0,16,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,11,3,4,0,0,11,3,4,0,0
1,0,0,0,0,0,12,4,0,0,0
1,14,0,0,0,0,15,0,0,0,0
1,10,0,0,0,0,11,9,0,0,0
1,12,0,0,0,0,6,0,1,0,0
1,8,8,0,0,0,5,8,2,0,0
1,13,0,7,0,0,0,0,0,0,0
1,2,14,0,0,0,1,5,0,0,0
1,12,4,0,0,0,9,3,0,0,0
1,0,0,0,0,0,12,1,3,0,0
1,0,16,0,0,0,0,15,0,0,0
1,13,3,0,0,0,12,0,0,0,0
1,6,0,4,0,0,8,3,0,0,0
1,0,0,0,0,0,4,2,10,0,0
1,9,0,3,0,0,6,3,0,0,0
1,12,6,0,0,0,12,0,0,0,0
1,5,10,0,0,0,5,0,0,0,0
1,7,7,6,0,0,5,5,6,0,0
1,6,11,1,0,0,0,0,0,0,0
1,6,9,8,0,0,5,9,8,0,0
1,12,12,0,0,0,16,0,16,0,0
1,15,0,0,0,0,15,0,15,0,0
1,10,0,8,0,0,0,0,0,0,0
1,7,0,10,0,0,0,0,0,0,0
1,0,0,0,0,0,1,15,0,0,0
1,11,3,2,0,0,11,3,2,0,0
1,0,0,0,0,0,14,0,2,0,0
1,14,4,4,0,0,10,7,1,0,0
1,6,9,4,0,0,8,6,0,0,0
1,16,16,0,0,0,0,0,0,0,0
1,0,0,0,0,0,9,0,7,0,0
1,11,0,10,0,0,12,0,0,0,0
